total_reward,episode_length,epsilon,game_won,timeout,final_territory,final_army,episode,timestamp
-0.01,1,0.10480604571960442,0.0,False,9,440,274,1749853540.4224317
-0.01,1,0.10480604571960442,0.0,False,10,446,275,1749853540.4231977
-0.01,1,0.10480604571960442,0.0,False,9,442,276,1749853540.4237654
-0.01,1,0.10480604571960442,0.0,False,10,461,277,1749853540.4243035
-0.01,1,0.10480604571960442,0.0,False,11,451,278,1749853540.424778
-0.01,1,0.10480604571960442,0.0,False,10,449,279,1749853540.425226
-0.01,1,0.10480604571960442,0.0,False,11,467,280,1749853540.4257514
-34.42000000000179,5000,0.09246201511725258,0.0,True,12,458,281,1749853895.55794
-37.50000000000126,5000,0.09246201511725258,0.0,True,9,450,282,1749853895.5600893
-37.990000000001665,5000,0.09246201511725258,0.0,True,9,401,283,1749853895.5614238
-35.31000000000168,5000,0.09246201511725258,0.0,True,11,469,284,1749853895.5628207
-36.45000000000109,5000,0.09246201511725258,0.0,True,10,455,285,1749853895.5634568
-34.25000000000185,5000,0.09246201511725258,0.0,True,12,475,286,1749853895.5639486
-35.36000000000182,5000,0.09246201511725258,0.0,True,11,464,287,1749853895.5644045
-38.100000000001074,5000,0.09246201511725258,0.0,True,9,390,288,1749853895.5648706
-0.01,1,0.09246201511725258,0.0,False,12,458,289,1749853895.6446745
-0.01,1,0.09246201511725258,0.0,False,9,450,290,1749853895.646056
-0.01,1,0.09246201511725258,0.0,False,9,401,291,1749853895.6471744
-0.01,1,0.09246201511725258,0.0,False,11,469,292,1749853895.6478438
-0.01,1,0.09246201511725258,0.0,False,10,455,293,1749853895.6484683
-0.01,1,0.09246201511725258,0.0,False,12,475,294,1749853895.6490097
-0.01,1,0.09246201511725258,0.0,False,11,464,295,1749853895.6495252
-0.01,1,0.09246201511725258,0.0,False,9,390,296,1749853895.6500127
-34.39000000000213,5000,0.08157186144027828,0.0,True,12,461,297,1749854249.0550666
-34.36000000000201,5000,0.08157186144027828,0.0,True,12,464,298,1749854249.0562472
-34.26000000000225,5000,0.08157186144027828,0.0,True,12,474,299,1749854249.057004
-35.43000000000222,5000,0.08157186144027828,0.0,True,11,457,300,1749854249.0576377
-39.1000000000002,5000,0.08157186144027828,0.0,True,8,390,301,1749854249.0582209
-34.43000000000221,5000,0.08157186144027828,0.0,True,12,457,302,1749854249.0587924
-36.30000000000153,5000,0.08157186144027828,0.0,True,10,470,303,1749854249.059308
-33.280000000002644,5000,0.08157186144027828,0.0,True,13,472,304,1749854249.0598102
-0.01,1,0.08157186144027828,0.0,False,12,461,305,1749854249.1416774
-0.01,1,0.08157186144027828,0.0,False,12,464,306,1749854249.1426253
-0.01,1,0.08157186144027828,0.0,False,12,474,307,1749854249.1430912
-0.01,1,0.08157186144027828,0.0,False,11,457,308,1749854249.1435127
-0.01,1,0.08157186144027828,0.0,False,8,390,309,1749854249.1439235
-0.01,1,0.08157186144027828,0.0,False,12,457,310,1749854249.144337
-0.01,1,0.08157186144027828,0.0,False,10,470,311,1749854249.1447828
-0.01,1,0.08157186144027828,0.0,False,13,472,312,1749854249.14522
-39.78000000000074,5000,0.07196434741762824,0.0,True,7,422,313,1749854605.664535
-37.64000000000137,5000,0.07196434741762824,0.0,True,9,436,314,1749854605.6656873
-36.420000000001636,5000,0.07196434741762824,0.0,True,10,458,315,1749854605.6661937
-33.23000000000249,5000,0.07196434741762824,0.0,True,13,477,316,1749854605.6666384
-37.630000000001196,5000,0.07196434741762824,0.0,True,9,437,317,1749854605.6671057
-35.35000000000185,5000,0.07196434741762824,0.0,True,11,465,318,1749854605.6676583
-35.270000000001694,5000,0.07196434741762824,0.0,True,11,473,319,1749854605.6681156
-34.29000000000242,5000,0.07196434741762824,0.0,True,12,471,320,1749854605.6685388
-0.01,1,0.07196434741762824,0.0,False,7,422,321,1749854605.7481291
-0.01,1,0.07196434741762824,0.0,False,9,436,322,1749854605.7493088
-0.01,1,0.07196434741762824,0.0,False,10,458,323,1749854605.7499714
-0.01,1,0.07196434741762824,0.0,False,13,477,324,1749854605.7505257
-0.01,1,0.07196434741762824,0.0,False,9,437,325,1749854605.750996
-0.01,1,0.07196434741762824,0.0,False,11,465,326,1749854605.7514627
-0.01,1,0.07196434741762824,0.0,False,11,473,327,1749854605.7520149
-0.01,1,0.07196434741762824,0.0,False,12,471,328,1749854605.752529
-36.56000000000193,5000,0.06348840406243188,0.0,True,10,444,329,1749854957.5639546
-35.410000000001155,5000,0.06348840406243188,0.0,True,11,459,330,1749854957.5650582
357.73999999998415,5000,0.06348840406243188,0.0,True,12,704,331,1749854957.5656438
-38.790000000000965,5000,0.06348840406243188,0.0,True,8,421,332,1749854957.5661237
-39.890000000000555,5000,0.06348840406243188,0.0,True,7,411,333,1749854957.566607
-35.37000000000181,5000,0.06348840406243188,0.0,True,11,463,334,1749854957.5671263
-39.930000000000945,5000,0.06348840406243188,0.0,True,7,407,335,1749854957.5676088
-35.49000000000178,5000,0.06348840406243188,0.0,True,11,451,336,1749854957.568108
0.0,1,0.06348840406243188,0.0,False,10,445,337,1749854957.6433995
0.0,1,0.06348840406243188,0.0,False,11,460,338,1749854957.6445594
0.11000000000000001,1,0.06348840406243188,0.0,False,12,706,339,1749854957.6451623
-0.01,1,0.06348840406243188,0.0,False,8,421,340,1749854957.6456554
0.0,1,0.06348840406243188,0.0,False,7,412,341,1749854957.6461437
-0.01,1,0.06348840406243188,0.0,False,11,463,342,1749854957.6465704
-0.01,1,0.06348840406243188,0.0,False,7,407,343,1749854957.6470387
-0.01,1,0.06348840406243188,0.0,False,11,451,344,1749854957.647443
-36.53000000000187,5000,0.05601075525639029,0.0,True,10,447,345,1749855311.8943737
-36.47000000000111,5000,0.05601075525639029,0.0,True,10,453,346,1749855311.8955886
-37.67000000000154,5000,0.05601075525639029,0.0,True,9,433,347,1749855311.8961256
-38.720000000001164,5000,0.05601075525639029,0.0,True,8,428,348,1749855311.8966122
-36.550000000001404,5000,0.05601075525639029,0.0,True,10,445,349,1749855311.897068
-40.78000000000044,5000,0.05601075525639029,0.0,True,6,422,350,1749855311.8975399
-37.49000000000129,5000,0.05601075525639029,0.0,True,9,451,351,1749855311.898017
-37.59000000000102,5000,0.05601075525639029,0.0,True,9,441,352,1749855311.898544
-0.01,1,0.05601075525639029,0.0,False,10,447,353,1749855311.981361
-0.01,1,0.05601075525639029,0.0,False,10,453,354,1749855311.982798
-0.01,1,0.05601075525639029,0.0,False,9,433,355,1749855311.9832735
-0.01,1,0.05601075525639029,0.0,False,8,428,356,1749855311.9836967
-0.01,1,0.05601075525639029,0.0,False,10,445,357,1749855311.984131
-0.01,1,0.05601075525639029,0.0,False,6,422,358,1749855311.9846847
-0.01,1,0.05601075525639029,0.0,False,9,451,359,1749855311.985224
-0.01,1,0.05601075525639029,0.0,False,9,441,360,1749855311.9857361
-37.730000000000764,5000,0.05,0.0,True,9,427,361,1749855666.322522
